aeropuerto_origen,aeropuerto_destino,distancia_entre_aeropuertos
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.4363, 'longitud': -99.0721}",7166
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",6049
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 52.3105, 'longitud': 4.7683}",1646
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",9890
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",8481
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 19.4363, 'longitud': -99.0721}",6997
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",6002
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 52.3105, 'longitud': 4.7683}",7660
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': -34.6037, 'longitud': -58.3711}",4496
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 21.7025, 'longitud': -102.8639}",9377
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 40.6397, 'longitud': -73.7789}",8952
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 49.0128, 'longitud': 2.5489}",4359
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 19.4363, 'longitud': -99.0721}",8717
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 21.0365, 'longitud': -86.8769}",4503
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",7865
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.9942, 'longitud': -101.4797}",2219
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': -34.6037, 'longitud': -58.3711}",4975
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.4363, 'longitud': -99.0721}",7333
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 50.0333, 'longitud': 8.5705}",4992
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 20.5225, 'longitud': -103.3097}",850
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 35.7647, 'longitud': 140.3864}",8970
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",1687
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 51.47, 'longitud': -0.4543}",5819
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -34.6037, 'longitud': -58.3711}",9523
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 22.1536, 'longitud': -100.9267}",1420
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -34.6037, 'longitud': -58.3711}",4142
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 33.9425, 'longitud': -118.407}",2637
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 19.4363, 'longitud': -99.0721}",6162
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.9942, 'longitud': -101.4797}",9078
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.1433, 'longitud': -96.1733}",6056
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -34.6037, 'longitud': -58.3711}",1453
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.9942, 'longitud': -101.4797}",9473
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",4264
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.308, 'longitud': 113.9154}",4296
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 20.9942, 'longitud': -101.4797}",4877
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 16.7658, 'longitud': -99.7639}",5045
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 33.9425, 'longitud': -118.407}",8553
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 52.3105, 'longitud': 4.7683}",8208
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 33.9425, 'longitud': -118.407}",8151
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 16.7658, 'longitud': -99.7639}",7445
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 22.1536, 'longitud': -100.9267}",6850
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",9519
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 20.9942, 'longitud': -101.4797}",8030
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 40.6397, 'longitud': -73.7789}",8531
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 51.47, 'longitud': -0.4543}",1679
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 21.0365, 'longitud': -86.8769}",526
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 19.1433, 'longitud': -96.1733}",5356
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': -33.9461, 'longitud': 151.1771}",8598
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 51.47, 'longitud': -0.4543}",5351
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 40.6397, 'longitud': -73.7789}",8062
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.308, 'longitud': 113.9154}",7675
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 50.0333, 'longitud': 8.5705}",6481
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 20.9942, 'longitud': -101.4797}",545
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -34.6037, 'longitud': -58.3711}",2077
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 52.3105, 'longitud': 4.7683}",2719
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 16.7658, 'longitud': -99.7639}",5837
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 33.9425, 'longitud': -118.407}",2279
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -33.9461, 'longitud': 151.1771}",7565
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 19.4363, 'longitud': -99.0721}",2859
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 52.3105, 'longitud': 4.7683}",3964
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 22.1536, 'longitud': -100.9267}",3962
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 50.0333, 'longitud': 8.5705}",6727
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.5225, 'longitud': -103.3097}",2424
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 33.9425, 'longitud': -118.407}",5832
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 19.1433, 'longitud': -96.1733}",2555
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 21.0365, 'longitud': -86.8769}",1150
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.1536, 'longitud': -100.9267}",8522
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': -33.9461, 'longitud': 151.1771}",6621
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 21.7025, 'longitud': -102.8639}",2365
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 33.9425, 'longitud': -118.407}",800
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 32.5362, 'longitud': -117.0203}",9228
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 20.9942, 'longitud': -101.4797}",2418
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 32.5362, 'longitud': -117.0203}",5833
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 51.47, 'longitud': -0.4543}",795
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -34.6037, 'longitud': -58.3711}",1502
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 16.7658, 'longitud': -99.7639}",5973
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 20.9942, 'longitud': -101.4797}",9200
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': -33.9461, 'longitud': 151.1771}",9738
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 33.9425, 'longitud': -118.407}",5602
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 21.7025, 'longitud': -102.8639}",1489
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 52.3105, 'longitud': 4.7683}",2673
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.5225, 'longitud': -103.3097}",6748
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 40.6397, 'longitud': -73.7789}",4304
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",7971
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 35.7647, 'longitud': 140.3864}",9134
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 52.3105, 'longitud': 4.7683}",8991
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 51.47, 'longitud': -0.4543}",4261
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': -33.9461, 'longitud': 151.1771}",4155
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 51.47, 'longitud': -0.4543}",1390
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -33.9461, 'longitud': 151.1771}",7382
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 51.47, 'longitud': -0.4543}",8043
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 35.7647, 'longitud': 140.3864}",5377
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 49.0128, 'longitud': 2.5489}",4548
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 40.6397, 'longitud': -73.7789}",7832
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': -34.6037, 'longitud': -58.3711}",3284
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 49.0128, 'longitud': 2.5489}",8005
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",7042
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 40.6397, 'longitud': -73.7789}",1533
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 35.7647, 'longitud': 140.3864}",6641
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 52.3105, 'longitud': 4.7683}",4442
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",8634
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 33.9425, 'longitud': -118.407}",8983
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 20.5225, 'longitud': -103.3097}",8312
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 20.5225, 'longitud': -103.3097}",2428
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 25.7854, 'longitud': -100.1077}",4888
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 22.308, 'longitud': 113.9154}",9701
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 20.5225, 'longitud': -103.3097}",8683
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 19.4363, 'longitud': -99.0721}",8312
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 50.0333, 'longitud': 8.5705}",1381
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 22.308, 'longitud': 113.9154}",4262
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.7025, 'longitud': -102.8639}",7777
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 35.7647, 'longitud': 140.3864}",8108
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 20.5225, 'longitud': -103.3097}",8326
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 40.6397, 'longitud': -73.7789}",3773
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 22.1536, 'longitud': -100.9267}",528
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 19.1433, 'longitud': -96.1733}",9034
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 19.4363, 'longitud': -99.0721}",1924
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 51.47, 'longitud': -0.4543}",2639
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 22.1536, 'longitud': -100.9267}",5984
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 22.1536, 'longitud': -100.9267}",3960
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.308, 'longitud': 113.9154}",7435
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",8824
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 25.7854, 'longitud': -100.1077}",2564
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 49.0128, 'longitud': 2.5489}",6538
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -34.6037, 'longitud': -58.3711}",2409
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 20.5225, 'longitud': -103.3097}",9823
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 22.1536, 'longitud': -100.9267}",6461
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 32.5362, 'longitud': -117.0203}",5980
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 21.0365, 'longitud': -86.8769}",7424
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.1433, 'longitud': -96.1733}",4722
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 32.5362, 'longitud': -117.0203}",2350
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -34.6037, 'longitud': -58.3711}",1142
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 50.0333, 'longitud': 8.5705}",2606
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 35.7647, 'longitud': 140.3864}",2047
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",2930
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 25.7854, 'longitud': -100.1077}",5785
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 19.1433, 'longitud': -96.1733}",2554
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 20.9942, 'longitud': -101.4797}",7684
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 25.7854, 'longitud': -100.1077}",7654
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.1433, 'longitud': -96.1733}",4541
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 52.3105, 'longitud': 4.7683}",5896
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 35.7647, 'longitud': 140.3864}",9096
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 52.3105, 'longitud': 4.7683}",8544
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 16.7658, 'longitud': -99.7639}",1620
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 33.9425, 'longitud': -118.407}",9569
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 50.0333, 'longitud': 8.5705}",6503
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 49.0128, 'longitud': 2.5489}",6346
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 50.0333, 'longitud': 8.5705}",8725
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': -33.9461, 'longitud': 151.1771}",5407
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 52.3105, 'longitud': 4.7683}",5669
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 22.1536, 'longitud': -100.9267}",5438
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.4363, 'longitud': -99.0721}",541
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 20.9942, 'longitud': -101.4797}",8326
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': -34.6037, 'longitud': -58.3711}",9446
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 32.5362, 'longitud': -117.0203}",7313
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 21.7025, 'longitud': -102.8639}",9687
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': -34.6037, 'longitud': -58.3711}",3379
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 22.308, 'longitud': 113.9154}",7286
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 16.7658, 'longitud': -99.7639}",6979
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 19.4363, 'longitud': -99.0721}",9080
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 49.0128, 'longitud': 2.5489}",948
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 49.0128, 'longitud': 2.5489}",6229
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 51.47, 'longitud': -0.4543}",5174
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 40.6397, 'longitud': -73.7789}",6031
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -34.6037, 'longitud': -58.3711}",2007
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",4445
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 49.0128, 'longitud': 2.5489}",3046
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 19.4363, 'longitud': -99.0721}",7480
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 49.0128, 'longitud': 2.5489}",4659
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 50.0333, 'longitud': 8.5705}",3499
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.5225, 'longitud': -103.3097}",7085
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 33.9425, 'longitud': -118.407}",9609
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 50.0333, 'longitud': 8.5705}",9301
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 22.1536, 'longitud': -100.9267}",6658
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 35.7647, 'longitud': 140.3864}",1767
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 32.5362, 'longitud': -117.0203}",8396
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 16.7658, 'longitud': -99.7639}",8618
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 49.0128, 'longitud': 2.5489}",8677
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 32.5362, 'longitud': -117.0203}",3114
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 50.0333, 'longitud': 8.5705}",7088
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 20.9942, 'longitud': -101.4797}",686
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 50.0333, 'longitud': 8.5705}",4166
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 33.9425, 'longitud': -118.407}",5784
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 20.9942, 'longitud': -101.4797}",531
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 49.0128, 'longitud': 2.5489}",9727
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.0365, 'longitud': -86.8769}",7339
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 33.9425, 'longitud': -118.407}",7230
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.308, 'longitud': 113.9154}",6499
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 32.5362, 'longitud': -117.0203}",3437
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': -33.9461, 'longitud': 151.1771}",6965
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 22.308, 'longitud': 113.9154}",9095
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 49.0128, 'longitud': 2.5489}",9428
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.5225, 'longitud': -103.3097}",2489
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 25.7854, 'longitud': -100.1077}",3405
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -34.6037, 'longitud': -58.3711}",1508
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 51.47, 'longitud': -0.4543}",2679
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 21.0365, 'longitud': -86.8769}",3118
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 40.6397, 'longitud': -73.7789}",8075
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 40.6397, 'longitud': -73.7789}",9388
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 50.0333, 'longitud': 8.5705}",623
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 50.0333, 'longitud': 8.5705}",1451
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 40.6397, 'longitud': -73.7789}",8145
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.0365, 'longitud': -86.8769}",1062
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 22.1536, 'longitud': -100.9267}",9059
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 22.1536, 'longitud': -100.9267}",3907
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.7025, 'longitud': -102.8639}",6983
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 21.0365, 'longitud': -86.8769}",6975
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 49.0128, 'longitud': 2.5489}",7691
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 22.1536, 'longitud': -100.9267}",7755
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.0365, 'longitud': -86.8769}",6891
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 16.7658, 'longitud': -99.7639}",5502
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': -33.9461, 'longitud': 151.1771}",3555
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 25.7854, 'longitud': -100.1077}",5937
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.0365, 'longitud': -86.8769}",1034
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 19.4363, 'longitud': -99.0721}",8530
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 51.47, 'longitud': -0.4543}",4287
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 40.6397, 'longitud': -73.7789}",3272
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 22.308, 'longitud': 113.9154}",8633
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.0365, 'longitud': -86.8769}",4826
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 51.47, 'longitud': -0.4543}",1721
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.7025, 'longitud': -102.8639}",6097
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 33.9425, 'longitud': -118.407}",8453
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.0365, 'longitud': -86.8769}",6299
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 40.6397, 'longitud': -73.7789}",2616
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 35.7647, 'longitud': 140.3864}",5042
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 51.47, 'longitud': -0.4543}",4776
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 35.7647, 'longitud': 140.3864}",5605
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': -34.6037, 'longitud': -58.3711}",3497
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 16.7658, 'longitud': -99.7639}",8021
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 50.0333, 'longitud': 8.5705}",7438
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 20.9942, 'longitud': -101.4797}",1907
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 52.3105, 'longitud': 4.7683}",7789
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.1433, 'longitud': -96.1733}",2674
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.1433, 'longitud': -96.1733}",4727
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 40.6397, 'longitud': -73.7789}",7586
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': -34.6037, 'longitud': -58.3711}",4355
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 49.0128, 'longitud': 2.5489}",2184
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 50.0333, 'longitud': 8.5705}",8018
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 19.1433, 'longitud': -96.1733}",3746
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.4363, 'longitud': -99.0721}",7570
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 16.7658, 'longitud': -99.7639}",5215
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 51.47, 'longitud': -0.4543}",2130
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.1433, 'longitud': -96.1733}",662
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 50.0333, 'longitud': 8.5705}",7463
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 16.7658, 'longitud': -99.7639}",8378
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': -34.6037, 'longitud': -58.3711}",4301
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 49.0128, 'longitud': 2.5489}",5625
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 50.0333, 'longitud': 8.5705}",3885
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 20.5225, 'longitud': -103.3097}",7461
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",9041
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 25.7854, 'longitud': -100.1077}",2463
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 40.6397, 'longitud': -73.7789}",6195
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 52.3105, 'longitud': 4.7683}",5895
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 40.6397, 'longitud': -73.7789}",9884
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 35.7647, 'longitud': 140.3864}",1111
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",5615
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 33.9425, 'longitud': -118.407}",6996
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 33.9425, 'longitud': -118.407}",3320
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 32.5362, 'longitud': -117.0203}",7171
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 20.9942, 'longitud': -101.4797}",2221
